意图,问题,回应
列表如何立刻预定,使用立刻预定的步骤,前往房源并点击查看空房情况 选择日期、房客人数，然后点击预订 如果显示确认并付款，您可以立即预订 如果显示请求预订，您可以添加付款信息，查看政策和条款，并在提交前向房东发送消息 如果您立即预订，您就可以出发了。如果您发送请求，您的房东通常会在 24 小时内回复。同时，我们可能会要求您验证您的身份——一些主机需要它，这有助于我们确保社区的安全。在除印度以外的任何地方，如果房东接受您的请求，您将被收取预订费用。如果他们拒绝或未在 24 小时内回复，则不收取任何费用，您可以免费预订其他住宿。对于以印度卢比付款的客人，您将在请求预订时支付预订费用。如果您的请求过期或被房东拒绝，我们将立即全额退款，这可能需要长达 10 天，具体取决于您的银行。
列表如何立刻预定,使用立刻预定的方法,前往房源并点击查看空房情况 选择日期、房客人数，然后点击预订 如果显示确认并付款，您可以立即预订 如果显示请求预订，您可以添加付款信息，查看政策和条款，并在提交前向房东发送消息 如果您立即预订，您就可以出发了。如果您发送请求，您的房东通常会在 24 小时内回复。同时，我们可能会要求您验证您的身份——一些主机需要它，这有助于我们确保社区的安全。在除印度以外的任何地方，如果房东接受您的请求，您将被收取预订费用。如果他们拒绝或未在 24 小时内回复，则不收取任何费用，您可以免费预订其他住宿。对于以印度卢比付款的客人，您将在请求预订时支付预订费用。如果您的请求过期或被房东拒绝，我们将立即全额退款，这可能需要长达 10 天，具体取决于您的银行。
取消,如何取消行程？,首先，检查您的请求的状态。如果房东已经接受了，则受其取消政策的约束。如果仍处于待处理状态，您可以取消，并且不会向您收取预订费或服务费。最简单的方法是在您的收件箱中找到您的主机的消息线程，然后选择撤回请求。否则： 1. 前往旅行并单击显示更多旅行计划 2. 对于显示待定房东批准的预订，单击取消预订 3. 单击取消请求/预订
取消,如何取消？,首先，检查您的请求的状态。如果房东已经接受了，则受其取消政策的约束。如果仍处于待处理状态，您可以取消，并且不会向您收取预订费或服务费。最简单的方法是在您的收件箱中找到您的主机的消息线程，然后选择撤回请求。否则： 1. 前往旅行并单击显示更多旅行计划 2. 对于显示待定房东批准的预订，单击取消预订 3. 单击取消请求/预订
取消,如何取消预订？,首先，检查您的请求的状态。如果房东已经接受了，则受其取消政策的约束。如果仍处于待处理状态，您可以取消，并且不会向您收取预订费或服务费。最简单的方法是在您的收件箱中找到您的主机的消息线程，然后选择撤回请求。否则： 1. 前往旅行并单击显示更多旅行计划 2. 对于显示待定房东批准的预订，单击取消预订 3. 单击取消请求/预订
取消,如何取消？,首先，检查您的请求的状态。如果房东已经接受了，则受其取消政策的约束。如果仍处于待处理状态，您可以取消，并且不会向您收取预订费或服务费。最简单的方法是在您的收件箱中找到您的主机的消息线程，然后选择撤回请求。否则： 1. 前往旅行并单击显示更多旅行计划 2. 对于显示待定房东批准的预订，单击取消预订 3. 单击取消请求/预订
取消,我想取消住宿,首先，检查您的请求的状态。如果房东已经接受了，则受其取消政策的约束。如果仍处于待处理状态，您可以取消，并且不会向您收取预订费或服务费。最简单的方法是在您的收件箱中找到您的主机的消息线程，然后选择撤回请求。否则： 1. 前往旅行并单击显示更多旅行计划 2. 对于显示待定房东批准的预订，单击取消预订 3. 单击取消请求/预订
取消,我想取消,首先，检查您的请求的状态。如果房东已经接受了，则受其取消政策的约束。如果仍处于待处理状态，您可以取消，并且不会向您收取预订费或服务费。最简单的方法是在您的收件箱中找到您的主机的消息线程，然后选择撤回请求。否则： 1. 前往旅行并单击显示更多旅行计划 2. 对于显示待定房东批准的预订，单击取消预订 3. 单击取消请求/预订
查看预订,如何以访客身份查看预订状态？,您的预订状态可让您随时了解各种情况，例如您是否已确认或是否需要执行验证 ID 或留下评论等操作。要查看它，请在收件箱中找到与房东相关的消息线程，或者转到旅行并单击或点击显示更多旅行计划，然后显示详细信息。已确认状态意味着您可以开始了！如果您设置了这些，您将收到一封电子邮件，以及文本 (SMS) 和推送通知。
查看预订,如何查看预订状态？,您的预订状态可让您随时了解各种情况，例如您是否已确认或是否需要执行验证 ID 或留下评论等操作。要查看它，请在收件箱中找到与房东相关的消息线程，或者转到旅行并单击或点击显示更多旅行计划，然后显示详细信息。已确认状态意味着您可以开始了！如果您设置了这些，您将收到一封电子邮件，以及文本 (SMS) 和推送通知。
查看预订,我在哪里可以查看我的预订状态？,您的预订状态可让您随时了解各种情况，例如您是否已确认或是否需要执行验证 ID 或留下评论等操作。要查看它，请在收件箱中找到与房东相关的消息线程，或者转到旅行并单击或点击显示更多旅行计划，然后显示详细信息。已确认状态意味着您可以开始了！如果您设置了这些，您将收到一封电子邮件，以及文本 (SMS) 和推送通知。
查看预订,可以跟进预订状态吗？,您的预订状态可让您随时了解各种情况，例如您是否已确认或是否需要执行验证 ID 或留下评论等操作。要查看它，请在收件箱中找到与房东相关的消息线程，或者转到旅行并单击或点击显示更多旅行计划，然后显示详细信息。已确认状态意味着您可以开始了！如果您设置了这些，您将收到一封电子邮件，以及文本 (SMS) 和推送通知。
查看预订,什么是预订状态？,您的预订状态可让您随时了解各种情况，例如您是否已确认或是否需要执行验证 ID 或留下评论等操作。要查看它，请在收件箱中找到与房东相关的消息线程，或者转到旅行并单击或点击显示更多旅行计划，然后显示详细信息。已确认状态意味着您可以开始了！如果您设置了这些，您将收到一封电子邮件，以及文本 (SMS) 和推送通知。
查看预订,预订状态让我了解哪些信息？,您的预订状态可让您随时了解各种情况，例如您是否已确认或是否需要执行验证 ID 或留下评论等操作。要查看它，请在收件箱中找到与房东相关的消息线程，或者转到旅行并单击或点击显示更多旅行计划，然后显示详细信息。已确认状态意味着您可以开始了！如果您设置了这些，您将收到一封电子邮件，以及文本 (SMS) 和推送通知。
预定分别,立刻预订和预订请求有什么区别？,对于 Instant Book 列表，您的预订会自动确认。如果您使用了“请求预订”按钮，房东有 24 小时的时间做出回应。如果他们拒绝或没有回应，请不要担心：您不会被收取费用，并且可以免费预订不同的住宿。无论哪种方式，请确保您的帐户是最新的，包含有效的付款信息和经过验证的 ID（某些主机需要它。）
预定分别,立刻预订和预订请求之间有什么区别吗？,对于 Instant Book 列表，您的预订会自动确认。如果您使用了“请求预订”按钮，房东有 24 小时的时间做出回应。如果他们拒绝或没有回应，请不要担心：您不会被收取费用，并且可以免费预订不同的住宿。无论哪种方式，请确保您的帐户是最新的，包含有效的付款信息和经过验证的 ID（某些主机需要它。）
预定分别,立刻预订和请求预订有什么区别？,对于 Instant Book 列表，您的预订会自动确认。如果您使用了“请求预订”按钮，房东有 24 小时的时间做出回应。如果他们拒绝或没有回应，请不要担心：您不会被收取费用，并且可以免费预订不同的住宿。无论哪种方式，请确保您的帐户是最新的，包含有效的付款信息和经过验证的 ID（某些主机需要它。）
预定分别,立刻预订和预订请求有何不同？,对于 Instant Book 列表，您的预订会自动确认。如果您使用了“请求预订”按钮，房东有 24 小时的时间做出回应。如果他们拒绝或没有回应，请不要担心：您不会被收取费用，并且可以免费预订不同的住宿。无论哪种方式，请确保您的帐户是最新的，包含有效的付款信息和经过验证的 ID（某些主机需要它。）
预定分别,立刻预订是否自动确认？,对于 Instant Book 列表，您的预订会自动确认。如果您使用了“请求预订”按钮，房东有 24 小时的时间做出回应。如果他们拒绝或没有回应，请不要担心：您不会被收取费用，并且可以免费预订不同的住宿。无论哪种方式，请确保您的帐户是最新的，包含有效的付款信息和经过验证的 ID（某些主机需要它。）
预定分别,如果房东拒绝了我的立刻预订请求，我还会被收费吗？,对于 Instant Book 列表，您的预订会自动确认。如果您使用了“请求预订”按钮，房东有 24 小时的时间做出回应。如果他们拒绝或没有回应，请不要担心：您不会被收取费用，并且可以免费预订不同的住宿。无论哪种方式，请确保您的帐户是最新的，包含有效的付款信息和经过验证的 ID（某些主机需要它。）
保留状态,预订状态是什么意思？,今天到达 客人将在 24 小时内到达。明天到达 客人很快就会到达，但不会在 24 小时内到达。 __ 天后到达 客人将在所述天数内进行检查。现在是打印预订详情和协调登记入住的好时机（如果您还没有的话）。等待客人 ID 主人要求客人在接受旅行请求之前验证他们的身份。他们有 12 小时的时间这样做；否则，请求将过期。 Awaiting guest review 客人已经退房，并有 14 天的时间来写下他们的住宿评论。 Awaiting payment 行程请求已被接受，但客人的付款尚未完成。在付款完成之前无法确认预订，因此他们有 24 小时更新付款信息。否则，预订将被取消而不会受到处罚。详细了解等待付款的预订。已取消 预订被取消，可能是因为： 客人未在 12 小时内验证其身份 未完成付款且未在 24 小时内更新付款信息 被您/客人/房东取消/爱彼迎 房东、房客或 爱彼迎 取消了已确认的预订。有时，爱彼迎 可能会代表房东或房客取消预订。今天退房 客人将在 24 小时内退房。未决更改 主人或客人已发起行程更改。已确认 旅行请求已被房东或通过 Instant Book 自动接受。 爱彼迎 已收取款项。当前托管 客人此时正在旅行。好的！ Invite expired 客人在收到房东预先批准的预订邀请后 24 小时内未接受。他们仍然可以预订该地点，但他们需要发送新的旅行请求。邀请已发送 房东已邀请客人预订显示的日期并自动确认。客人有 24 小时的时间选择立即预订。不可能 请求的日期不再可用。发生这种情况的原因有多种，包括预订重叠或房东日历的最近更新。优惠已过期 客人收到房东的特别优惠，但未在 24 小时窗口内接受。过去的客人 客人完成了他们的旅行。请求被拒绝 主人拒绝了客人的旅行请求，因此不会向他们收费。请求已过期 主人或客人接受或拒绝请求的时间超过 24 小时。如果客人仍然感兴趣，他们将需要发送新的请求。获取有关拒绝或过期请求的更多详细信息。请求已撤消 客人发送了旅行请求，但随后决定取消。点评客人 行程结束，房东有14天时间给客人留下点评。已发送特别优惠 房东已邀请客人以与所列价格不同的价格预订显示的日期。房东经常这样做是为了提供折扣或在预订中增加额外的金额，例如宠物费。客人有 24 小时的时间通过选择立即预订来接受预订——此时，预订将被自动接受。 爱彼迎 更改了行程 我们的客户支持团队已代表房东或客人更改了行程详情。旅行更改被拒绝 房东拒绝了客人更改旅行详情的请求。已请求旅行更改 客人已请求更改有关其旅行的详细信息。如果房东不接受，他们将不得不按照原计划进行或取消。已发送行程变更 房东已请求更改有关其行程的详细信息。如果客人不接受，他们将不得不按原计划或取消。旅行被拒绝 客人提出旅行问题，但主人拒绝了，这意味着客人无法发送旅行请求。这可能是由于它们的可用性发生了变化。查询 客人已询问有关具体日期的问题，但尚未发送旅行请求。为了保持他们的回复率，我们鼓励房东在 24 小时内回信，并邀请房客在查询到期前预订、拒绝或发送特别优惠。如果您的状态显示“查询 - 即将到期”，请查看今日仪表板以了解您必须在多少小时内回复才能为时已晚。了解有关联络房东的更多信息。
保留状态,我的预订状态是什么意思？,今天到达 客人将在 24 小时内到达。明天到达 客人很快就会到达，但不会在 24 小时内到达。 __ 天后到达 客人将在所述天数内进行检查。现在是打印预订详情和协调登记入住的好时机（如果您还没有的话）。等待客人 ID 主人要求客人在接受旅行请求之前验证他们的身份。他们有 12 小时的时间这样做；否则，请求将过期。 Awaiting guest review 客人已经退房，并有 14 天的时间来写下他们的住宿评论。 Awaiting payment 行程请求已被接受，但客人的付款尚未完成。在付款完成之前无法确认预订，因此他们有 24 小时更新付款信息。否则，预订将被取消而不会受到处罚。详细了解等待付款的预订。已取消 预订被取消，可能是因为： 客人未在 12 小时内验证其身份 未完成付款且未在 24 小时内更新付款信息 被您/客人/房东取消/爱彼迎 房东、房客或 爱彼迎 取消了已确认的预订。有时，爱彼迎 可能会代表房东或房客取消预订。今天退房 客人将在 24 小时内退房。未决更改 主人或客人已发起行程更改。已确认 旅行请求已被房东或通过 Instant Book 自动接受。 爱彼迎 已收取款项。当前托管 客人此时正在旅行。好的！ Invite expired 客人在收到房东预先批准的预订邀请后 24 小时内未接受。他们仍然可以预订该地点，但他们需要发送新的旅行请求。邀请已发送 房东已邀请客人预订显示的日期并自动确认。客人有 24 小时的时间选择立即预订。不可能 请求的日期不再可用。发生这种情况的原因有多种，包括预订重叠或房东日历的最近更新。优惠已过期 客人收到房东的特别优惠，但未在 24 小时窗口内接受。过去的客人 客人完成了他们的旅行。请求被拒绝 主人拒绝了客人的旅行请求，因此不会向他们收费。请求已过期 主人或客人接受或拒绝请求的时间超过 24 小时。如果客人仍然感兴趣，他们将需要发送新的请求。获取有关拒绝或过期请求的更多详细信息。请求已撤消 客人发送了旅行请求，但随后决定取消。点评客人 行程结束，房东有14天时间给客人留下点评。已发送特别优惠 房东已邀请客人以与所列价格不同的价格预订显示的日期。房东经常这样做是为了提供折扣或在预订中增加额外的金额，例如宠物费。客人有 24 小时的时间通过选择立即预订来接受预订——此时，预订将被自动接受。 爱彼迎 更改了行程 我们的客户支持团队已代表房东或客人更改了行程详情。旅行更改被拒绝 房东拒绝了客人更改旅行详情的请求。已请求旅行更改 客人已请求更改有关其旅行的详细信息。如果房东不接受，他们将不得不按照原计划进行或取消。已发送行程变更 房东已请求更改有关其行程的详细信息。如果客人不接受，他们将不得不按原计划或取消。旅行被拒绝 客人提出旅行问题，但主人拒绝了，这意味着客人无法发送旅行请求。这可能是由于它们的可用性发生了变化。查询 客人已询问有关具体日期的问题，但尚未发送旅行请求。为了保持他们的回复率，我们鼓励房东在 24 小时内回信，并邀请房客在查询到期前预订、拒绝或发送特别优惠。如果您的状态显示“查询 - 即将到期”，请查看今日仪表板以了解您必须在多少小时内回复才能为时已晚。了解有关联络房东的更多信息。
保留状态,我想了解更多有关预订状态类型的信息,今天到达 客人将在 24 小时内到达。明天到达 客人很快就会到达，但不会在 24 小时内到达。 __ 天后到达 客人将在所述天数内进行检查。现在是打印预订详情和协调登记入住的好时机（如果您还没有的话）。等待客人 ID 主人要求客人在接受旅行请求之前验证他们的身份。他们有 12 小时的时间这样做；否则，请求将过期。 Awaiting guest review 客人已经退房，并有 14 天的时间来写下他们的住宿评论。 Awaiting payment 行程请求已被接受，但客人的付款尚未完成。在付款完成之前无法确认预订，因此他们有 24 小时更新付款信息。否则，预订将被取消而不会受到处罚。详细了解等待付款的预订。已取消 预订被取消，可能是因为： 客人未在 12 小时内验证其身份 未完成付款且未在 24 小时内更新付款信息 被您/客人/房东取消/爱彼迎 房东、房客或 爱彼迎 取消了已确认的预订。有时，爱彼迎 可能会代表房东或房客取消预订。今天退房 客人将在 24 小时内退房。未决更改 主人或客人已发起行程更改。已确认 旅行请求已被房东或通过 Instant Book 自动接受。 爱彼迎 已收取款项。当前托管 客人此时正在旅行。好的！ Invite expired 客人在收到房东预先批准的预订邀请后 24 小时内未接受。他们仍然可以预订该地点，但他们需要发送新的旅行请求。邀请已发送 房东已邀请客人预订显示的日期并自动确认。客人有 24 小时的时间选择立即预订。不可能 请求的日期不再可用。发生这种情况的原因有多种，包括预订重叠或房东日历的最近更新。优惠已过期 客人收到房东的特别优惠，但未在 24 小时窗口内接受。过去的客人 客人完成了他们的旅行。请求被拒绝 主人拒绝了客人的旅行请求，因此不会向他们收费。请求已过期 主人或客人接受或拒绝请求的时间超过 24 小时。如果客人仍然感兴趣，他们将需要发送新的请求。获取有关拒绝或过期请求的更多详细信息。请求已撤消 客人发送了旅行请求，但随后决定取消。点评客人 行程结束，房东有14天时间给客人留下点评。已发送特别优惠 房东已邀请客人以与所列价格不同的价格预订显示的日期。房东经常这样做是为了提供折扣或在预订中增加额外的金额，例如宠物费。客人有 24 小时的时间通过选择立即预订来接受预订——此时，预订将被自动接受。 爱彼迎 更改了行程 我们的客户支持团队已代表房东或客人更改了行程详情。旅行更改被拒绝 房东拒绝了客人更改旅行详情的请求。已请求旅行更改 客人已请求更改有关其旅行的详细信息。如果房东不接受，他们将不得不按照原计划进行或取消。已发送行程变更 房东已请求更改有关其行程的详细信息。如果客人不接受，他们将不得不按原计划或取消。旅行被拒绝 客人提出旅行问题，但主人拒绝了，这意味着客人无法发送旅行请求。这可能是由于它们的可用性发生了变化。查询 客人已询问有关具体日期的问题，但尚未发送旅行请求。为了保持他们的回复率，我们鼓励房东在 24 小时内回信，并邀请房客在查询到期前预订、拒绝或发送特别优惠。如果您的状态显示“查询 - 即将到期”，请查看今日仪表板以了解您必须在多少小时内回复才能为时已晚。了解有关联络房东的更多信息。
保留状态,有哪些类型的预订状态？,今天到达 客人将在 24 小时内到达。明天到达 客人很快就会到达，但不会在 24 小时内到达。 __ 天后到达 客人将在所述天数内进行检查。现在是打印预订详情和协调登记入住的好时机（如果您还没有的话）。等待客人 ID 主人要求客人在接受旅行请求之前验证他们的身份。他们有 12 小时的时间这样做；否则，请求将过期。 Awaiting guest review 客人已经退房，并有 14 天的时间来写下他们的住宿评论。 Awaiting payment 行程请求已被接受，但客人的付款尚未完成。在付款完成之前无法确认预订，因此他们有 24 小时更新付款信息。否则，预订将被取消而不会受到处罚。详细了解等待付款的预订。已取消 预订被取消，可能是因为： 客人未在 12 小时内验证其身份 未完成付款且未在 24 小时内更新付款信息 被您/客人/房东取消/爱彼迎 房东、房客或 爱彼迎 取消了已确认的预订。有时，爱彼迎 可能会代表房东或房客取消预订。今天退房 客人将在 24 小时内退房。未决更改 主人或客人已发起行程更改。已确认 旅行请求已被房东或通过 Instant Book 自动接受。 爱彼迎 已收取款项。当前托管 客人此时正在旅行。好的！ Invite expired 客人在收到房东预先批准的预订邀请后 24 小时内未接受。他们仍然可以预订该地点，但他们需要发送新的旅行请求。邀请已发送 房东已邀请客人预订显示的日期并自动确认。客人有 24 小时的时间选择立即预订。不可能 请求的日期不再可用。发生这种情况的原因有多种，包括预订重叠或房东日历的最近更新。优惠已过期 客人收到房东的特别优惠，但未在 24 小时窗口内接受。过去的客人 客人完成了他们的旅行。请求被拒绝 主人拒绝了客人的旅行请求，因此不会向他们收费。请求已过期 主人或客人接受或拒绝请求的时间超过 24 小时。如果客人仍然感兴趣，他们将需要发送新的请求。获取有关拒绝或过期请求的更多详细信息。请求已撤消 客人发送了旅行请求，但随后决定取消。点评客人 行程结束，房东有14天时间给客人留下点评。已发送特别优惠 房东已邀请客人以与所列价格不同的价格预订显示的日期。房东经常这样做是为了提供折扣或在预订中增加额外的金额，例如宠物费。客人有 24 小时的时间通过选择立即预订来接受预订——此时，预订将被自动接受。 爱彼迎 更改了行程 我们的客户支持团队已代表房东或客人更改了行程详情。旅行更改被拒绝 房东拒绝了客人更改旅行详情的请求。已请求旅行更改 客人已请求更改有关其旅行的详细信息。如果房东不接受，他们将不得不按照原计划进行或取消。已发送行程变更 房东已请求更改有关其行程的详细信息。如果客人不接受，他们将不得不按原计划或取消。旅行被拒绝 客人提出旅行问题，但主人拒绝了，这意味着客人无法发送旅行请求。这可能是由于它们的可用性发生了变化。查询 客人已询问有关具体日期的问题，但尚未发送旅行请求。为了保持他们的回复率，我们鼓励房东在 24 小时内回信，并邀请房客在查询到期前预订、拒绝或发送特别优惠。如果您的状态显示“查询 - 即将到期”，请查看今日仪表板以了解您必须在多少小时内回复才能为时已晚。了解有关联络房东的更多信息。
保留状态,预订状态的类型,今天到达 客人将在 24 小时内到达。明天到达 客人很快就会到达，但不会在 24 小时内到达。 __ 天后到达 客人将在所述天数内进行检查。现在是打印预订详情和协调登记入住的好时机（如果您还没有的话）。等待客人 ID 主人要求客人在接受旅行请求之前验证他们的身份。他们有 12 小时的时间这样做；否则，请求将过期。 Awaiting guest review 客人已经退房，并有 14 天的时间来写下他们的住宿评论。 Awaiting payment 行程请求已被接受，但客人的付款尚未完成。在付款完成之前无法确认预订，因此他们有 24 小时更新付款信息。否则，预订将被取消而不会受到处罚。详细了解等待付款的预订。已取消 预订被取消，可能是因为： 客人未在 12 小时内验证其身份 未完成付款且未在 24 小时内更新付款信息 被您/客人/房东取消/爱彼迎 房东、房客或 爱彼迎 取消了已确认的预订。有时，爱彼迎 可能会代表房东或房客取消预订。今天退房 客人将在 24 小时内退房。未决更改 主人或客人已发起行程更改。已确认 旅行请求已被房东或通过 Instant Book 自动接受。 爱彼迎 已收取款项。当前托管 客人此时正在旅行。好的！ Invite expired 客人在收到房东预先批准的预订邀请后 24 小时内未接受。他们仍然可以预订该地点，但他们需要发送新的旅行请求。邀请已发送 房东已邀请客人预订显示的日期并自动确认。客人有 24 小时的时间选择立即预订。不可能 请求的日期不再可用。发生这种情况的原因有多种，包括预订重叠或房东日历的最近更新。优惠已过期 客人收到房东的特别优惠，但未在 24 小时窗口内接受。过去的客人 客人完成了他们的旅行。请求被拒绝 主人拒绝了客人的旅行请求，因此不会向他们收费。请求已过期 主人或客人接受或拒绝请求的时间超过 24 小时。如果客人仍然感兴趣，他们将需要发送新的请求。获取有关拒绝或过期请求的更多详细信息。请求已撤消 客人发送了旅行请求，但随后决定取消。点评客人 行程结束，房东有14天时间给客人留下点评。已发送特别优惠 房东已邀请客人以与所列价格不同的价格预订显示的日期。房东经常这样做是为了提供折扣或在预订中增加额外的金额，例如宠物费。客人有 24 小时的时间通过选择立即预订来接受预订——此时，预订将被自动接受。 爱彼迎 更改了行程 我们的客户支持团队已代表房东或客人更改了行程详情。旅行更改被拒绝 房东拒绝了客人更改旅行详情的请求。已请求旅行更改 客人已请求更改有关其旅行的详细信息。如果房东不接受，他们将不得不按照原计划进行或取消。已发送行程变更 房东已请求更改有关其行程的详细信息。如果客人不接受，他们将不得不按原计划或取消。旅行被拒绝 客人提出旅行问题，但主人拒绝了，这意味着客人无法发送旅行请求。这可能是由于它们的可用性发生了变化。查询 客人已询问有关具体日期的问题，但尚未发送旅行请求。为了保持他们的回复率，我们鼓励房东在 24 小时内回信，并邀请房客在查询到期前预订、拒绝或发送特别优惠。如果您的状态显示“查询 - 即将到期”，请查看今日仪表板以了解您必须在多少小时内回复才能为时已晚。了解有关联络房东的更多信息。
保留状态,存在哪些不同的预订状态？,今天到达 客人将在 24 小时内到达。明天到达 客人很快就会到达，但不会在 24 小时内到达。 __ 天后到达 客人将在所述天数内进行检查。现在是打印预订详情和协调登记入住的好时机（如果您还没有的话）。等待客人 ID 主人要求客人在接受旅行请求之前验证他们的身份。他们有 12 小时的时间这样做；否则，请求将过期。 Awaiting guest review 客人已经退房，并有 14 天的时间来写下他们的住宿评论。 Awaiting payment 行程请求已被接受，但客人的付款尚未完成。在付款完成之前无法确认预订，因此他们有 24 小时更新付款信息。否则，预订将被取消而不会受到处罚。详细了解等待付款的预订。已取消 预订被取消，可能是因为： 客人未在 12 小时内验证其身份 未完成付款且未在 24 小时内更新付款信息 被您/客人/房东取消/爱彼迎 房东、房客或 爱彼迎 取消了已确认的预订。有时，爱彼迎 可能会代表房东或房客取消预订。今天退房 客人将在 24 小时内退房。未决更改 主人或客人已发起行程更改。已确认 旅行请求已被房东或通过 Instant Book 自动接受。 爱彼迎 已收取款项。当前托管 客人此时正在旅行。好的！ Invite expired 客人在收到房东预先批准的预订邀请后 24 小时内未接受。他们仍然可以预订该地点，但他们需要发送新的旅行请求。邀请已发送 房东已邀请客人预订显示的日期并自动确认。客人有 24 小时的时间选择立即预订。不可能 请求的日期不再可用。发生这种情况的原因有多种，包括预订重叠或房东日历的最近更新。优惠已过期 客人收到房东的特别优惠，但未在 24 小时窗口内接受。过去的客人 客人完成了他们的旅行。请求被拒绝 主人拒绝了客人的旅行请求，因此不会向他们收费。请求已过期 主人或客人接受或拒绝请求的时间超过 24 小时。如果客人仍然感兴趣，他们将需要发送新的请求。获取有关拒绝或过期请求的更多详细信息。请求已撤消 客人发送了旅行请求，但随后决定取消。点评客人 行程结束，房东有14天时间给客人留下点评。已发送特别优惠 房东已邀请客人以与所列价格不同的价格预订显示的日期。房东经常这样做是为了提供折扣或在预订中增加额外的金额，例如宠物费。客人有 24 小时的时间通过选择立即预订来接受预订——此时，预订将被自动接受。 爱彼迎 更改了行程 我们的客户支持团队已代表房东或客人更改了行程详情。旅行更改被拒绝 房东拒绝了客人更改旅行详情的请求。已请求旅行更改 客人已请求更改有关其旅行的详细信息。如果房东不接受，他们将不得不按照原计划进行或取消。已发送行程变更 房东已请求更改有关其行程的详细信息。如果客人不接受，他们将不得不按原计划或取消。旅行被拒绝 客人提出旅行问题，但主人拒绝了，这意味着客人无法发送旅行请求。这可能是由于它们的可用性发生了变化。查询 客人已询问有关具体日期的问题，但尚未发送旅行请求。为了保持他们的回复率，我们鼓励房东在 24 小时内回信，并邀请房客在查询到期前预订、拒绝或发送特别优惠。如果您的状态显示“查询 - 即将到期”，请查看今日仪表板以了解您必须在多少小时内回复才能为时已晚。了解有关联络房东的更多信息。
联络没回复,楼主还没回复我,大多数主机会在几个小时内做出响应，但时区和缺乏互联网访问可能会减慢速度。与此同时，尝试联络该地区的其他房东。请注意不要在同一日期发送多个旅行请求，以确保您最终不会重复预订。不想等待主机响应？试用 Instant Book 房源——只要您已完成帐户设置，您就可以立即预订，而无需向房东发送请求以获得批准。
联络没回复,楼主没回复我,大多数主机会在几个小时内做出响应，但时区和缺乏互联网访问可能会减慢速度。与此同时，尝试联络该地区的其他房东。请注意不要在同一日期发送多个旅行请求，以确保您最终不会重复预订。不想等待主机响应？试用 Instant Book 房源——只要您已完成帐户设置，您就可以立即预订，而无需向房东发送请求以获得批准。
联络没回复,我的主人在回复我时没有任何回应,大多数主机会在几个小时内做出响应，但时区和缺乏互联网访问可能会减慢速度。与此同时，尝试联络该地区的其他房东。请注意不要在同一日期发送多个旅行请求，以确保您最终不会重复预订。不想等待主机响应？试用 Instant Book 房源——只要您已完成帐户设置，您就可以立即预订，而无需向房东发送请求以获得批准。
联络没回复,我的主人没有回复我,大多数主机会在几个小时内做出响应，但时区和缺乏互联网访问可能会减慢速度。与此同时，尝试联络该地区的其他房东。请注意不要在同一日期发送多个旅行请求，以确保您最终不会重复预订。不想等待主机响应？试用 Instant Book 房源——只要您已完成帐户设置，您就可以立即预订，而无需向房东发送请求以获得批准。
联络没回复,主持人没有给我回消息,大多数主机会在几个小时内做出响应，但时区和缺乏互联网访问可能会减慢速度。与此同时，尝试联络该地区的其他房东。请注意不要在同一日期发送多个旅行请求，以确保您最终不会重复预订。不想等待主机响应？试用 Instant Book 房源——只要您已完成帐户设置，您就可以立即预订，而无需向房东发送请求以获得批准。
联络没回复,我的房东还没有给我发消息,大多数主机会在几个小时内做出响应，但时区和缺乏互联网访问可能会减慢速度。与此同时，尝试联络该地区的其他房东。请注意不要在同一日期发送多个旅行请求，以确保您最终不会重复预订。不想等待主机响应？试用 Instant Book 房源——只要您已完成帐户设置，您就可以立即预订，而无需向房东发送请求以获得批准。
联络时间,楼主什么时候回复我？,房东有 24 小时接受或拒绝您的请求，但绝大多数会在 12 小时内回复。很有可能，它会更快：超过一半的旅行请求在主人阅读它的一小时内被接受。您可以随时查看您的旅行请求的状态，但当事情发生变化时，您也会收到电子邮件更新。当房东确认您的请求后，爱彼迎将处理并全额收取您的付款。如果他们拒绝或让它过期，您将不会被收取费用，您可以自由预订不同的住宿。需要来自您的主机的更多信息？您可以使用收件箱向房东发送消息或前往您的旅行。
联络时间,楼主什么时候回复我？,房东有 24 小时接受或拒绝您的请求，但绝大多数会在 12 小时内回复。很有可能，它会更快：超过一半的旅行请求在主人阅读它的一小时内被接受。您可以随时查看您的旅行请求的状态，但当事情发生变化时，您也会收到电子邮件更新。当房东确认您的请求后，爱彼迎将处理并全额收取您的付款。如果他们拒绝或让它过期，您将不会被收取费用，您可以自由预订不同的住宿。需要来自您的主机的更多信息？您可以使用收件箱向房东发送消息或前往您的旅行。
联络时间,主持人通常什么时候回复我？,房东有 24 小时接受或拒绝您的请求，但绝大多数会在 12 小时内回复。很有可能，它会更快：超过一半的旅行请求在主人阅读它的一小时内被接受。您可以随时查看您的旅行请求的状态，但当事情发生变化时，您也会收到电子邮件更新。当房东确认您的请求后，爱彼迎将处理并全额收取您的付款。如果他们拒绝或让它过期，您将不会被收取费用，您可以自由预订不同的住宿。需要来自您的主机的更多信息？您可以使用收件箱向房东发送消息或前往您的旅行。
